NYSOFA County Code,County Name,Year,Meal Units Served,Meal Type
47,Suffolk,1976,12837,Home Delivered Meals
48,Sullivan,1976,49344,Congregate Meals
48,Sullivan,1976,10181,Home Delivered Meals
49,Tioga,1976,25124,Congregate Meals
49,Tioga,1976,4319,Home Delivered Meals
50,Tompkins,1976,32969,Congregate Meals
50,Tompkins,1976,1843,Home Delivered Meals
51,Ulster,1976,29324,Congregate Meals
51,Ulster,1976,8177,Home Delivered Meals
52,Warren/Hamilton,1976,48715,Congregate Meals
52,Warren/Hamilton,1976,10895,Home Delivered Meals
53,Washington,1976,16856,Congregate Meals
53,Washington,1976,3602,Home Delivered Meals
54,Wayne,1976,42993,Congregate Meals
54,Wayne,1976,7075,Home Delivered Meals
55,Westchester,1976,250082,Congregate Meals
55,Westchester,1976,3676,Home Delivered Meals
56,Wyoming,1976,31450,Congregate Meals
56,Wyoming,1976,4427,Home Delivered Meals
60,New York City,1976,2555078,Congregate Meals
60,New York City,1976,444474,Home Delivered Meals
1,Albany,1977,106354,Congregate Meals
1,Albany,1977,33248,Home Delivered Meals
2,Allegany,1977,19817,Congregate Meals
2,Allegany,1977,13605,Home Delivered Meals
3,Broome,1977,177974,Congregate Meals
3,Broome,1977,26343,Home Delivered Meals
4,Cattaraugus,1977,52212,Congregate Meals
4,Cattaraugus,1977,4776,Home Delivered Meals
5,Cayuga,1977,52776,Congregate Meals
5,Cayuga,1977,12208,Home Delivered Meals
6,Chautauqua,1977,82564,Congregate Meals
6,Chautauqua,1977,31343,Home Delivered Meals
7,Chemung,1977,58248,Congregate Meals
7,Chemung,1977,8124,Home Delivered Meals
8,Chenango,1977,52354,Congregate Meals
8,Chenango,1977,12596,Home Delivered Meals
9,Clinton,1977,37470,Congregate Meals
9,Clinton,1977,1803,Home Delivered Meals
10,Columbia,1977,25318,Congregate Meals
10,Columbia,1977,4374,Home Delivered Meals
11,Cortland,1977,50893,Congregate Meals
11,Cortland,1977,17125,Home Delivered Meals
12,Delaware,1977,38961,Congregate Meals
12,Delaware,1977,8187,Home Delivered Meals
13,Dutchess,1977,67876,Congregate Meals
13,Dutchess,1977,6123,Home Delivered Meals
14,Erie,1977,533981,Congregate Meals
14,Erie,1977,61271,Home Delivered Meals
15,Essex,1977,27770,Congregate Meals
15,Essex,1977,8847,Home Delivered Meals
16,Franklin,1977,73001,Congregate Meals
16,Franklin,1977,28099,Home Delivered Meals
17,Fulton,1977,21415,Congregate Meals
17,Fulton,1977,2824,Home Delivered Meals
18,Genesee,1977,32381,Congregate Meals
18,Genesee,1977,33,Home Delivered Meals
19,Greene,1977,43066,Congregate Meals
19,Greene,1977,10838,Home Delivered Meals
21,Herkimer,1977,31961,Congregate Meals
21,Herkimer,1977,2565,Home Delivered Meals
22,Jefferson,1977,43793,Congregate Meals
22,Jefferson,1977,6728,Home Delivered Meals
23,Lewis,1977,28093,Congregate Meals
23,Lewis,1977,8705,Home Delivered Meals
24,Livingston,1977,18720,Congregate Meals
24,Livingston,1977,427,Home Delivered Meals
25,Madison,1977,37666,Congregate Meals
25,Madison,1977,2099,Home Delivered Meals
26,Monroe,1977,184679,Congregate Meals
26,Monroe,1977,7165,Home Delivered Meals
27,Montgomery,1977,57991,Congregate Meals
27,Montgomery,1977,12871,Home Delivered Meals
28,Nassau,1977,292582,Congregate Meals
28,Nassau,1977,46950,Home Delivered Meals
29,Niagara,1977,156632,Congregate Meals
29,Niagara,1977,579,Home Delivered Meals
30,Oneida,1977,137623,Congregate Meals
30,Oneida,1977,20068,Home Delivered Meals
31,Onondaga,1977,155401,Congregate Meals
31,Onondaga,1977,10028,Home Delivered Meals
32,Ontario,1977,30128,Congregate Meals
32,Ontario,1977,7440,Home Delivered Meals
33,Orange,1977,79873,Congregate Meals
33,Orange,1977,12028,Home Delivered Meals
34,Orleans,1977,13555,Congregate Meals
34,Orleans,1977,9,Home Delivered Meals
35,Oswego,1977,34466,Congregate Meals
35,Oswego,1977,13916,Home Delivered Meals
36,Otsego,1977,52602,Congregate Meals
36,Otsego,1977,11406,Home Delivered Meals
37,Putnam,1977,30904,Congregate Meals
37,Putnam,1977,7530,Home Delivered Meals
38,Rensselaer,1977,54798,Congregate Meals
38,Rensselaer,1977,28543,Home Delivered Meals
39,Rockland,1977,70332,Congregate Meals
39,Rockland,1977,1970,Home Delivered Meals
